Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPoints
504,50051798,Logan Braucht,CITA,RB,1,COAST,2,8,4,0,0,0,0,0,0,0.8
504,50059336,DaMon Macklin,DUQ,RB,1,TCU,3,8,2.7,0,0,0,0,0,0,0.8
504,50039003,Micah Smith,EWASH,RB,1,UNLV,2,8,4,0,0,0,0,0,0,0.8
504,50048206,Domonhic Jennings,LIUB,RB,1,FLINT,5,8,1.6,0,0,0,0,0,0,0.8
504,50053864,Lovell Armstead,STFPA,RB,1,EMICH,3,8,2.7,0,0,0,0,0,0,0.8
504,50061207,Jordan Jefferson,SUTAH,RB,1,ARZST,1,8,8,0,0,0,0,0,0,0.8
504,50038468,Chris Curry,UTAH,RB,1,WEBST,3,8,2.7,0,0,0,0,0,0,0.8
511,50032802,Jakyle Holmes,LAMON,RB,1,UK,3,7,2.3,0,0,0,0,0,0,0.7
511,50068387,Shemar Paul,LIUB,RB,1,FLINT,8,7,0.9,0,0,0,0,0,0,0.7
511,50055355,Harlan Dixon,LOUTCH,RB,1,MSPST,1,0,0,0,2,7,0,0,0,0.7
511,50029873,Myron Mason,MSRST,RB,1,OKST,3,7,2.3,0,0,0,0,0,0,0.7
511,50042849,Alex Escobar,NMXST,RB,1,UTEP,1,7,7,0,0,0,0,0,0,0.7
511,50048216,King Doerue,PUR,RB,1,OREGST,5,7,1.4,0,0,0,0,1,0,0.7
511,50033711,Chance Bell,SDST,RB,1,NMXST,7,7,1,0,0,0,0,0,0,0.7
511,50046630,Anthony Watkins,TULSA,RB,1,UCDV,2,7,3.5,0,0,0,0,0,0,0.7
511,50054127,Ellis Merriweather,UMASS,RB,1,PITT,3,3,1,0,1,4,0,0,0,0.7
511,50060327,Jared Chisari,UMASS,RB,1,PITT,1,7,7,0,0,0,0,0,0,0.7
511,50046141,Mike Hollins,VIR,RB,1,WM,2,5,2.5,0,1,2,0,0,0,0.7
511,50061269,Brown Anglin,WAG,RB,1,BUF,5,7,1.4,0,0,0,0,0,0,0.7
511,50001713,Trey Smith,WYOM,RB,1,MONST,3,7,2.3,0,0,0,0,0,0,0.7
524,50061527,Owen Burk,AIRF,RB,1,LAFAY,1,6,6,0,0,0,0,0,0,0.6
524,50061080,Deonce Elliott,ARZST,RB,1,SUTAH,3,6,2,0,0,0,0,0,0,0.6
524,50037769,Lorenzo Lingard,FL,RB,1,FLATL,2,6,3,0,0,0,0,0,0,0.6
524,50047316,Jacardia Wright,KANST,RB,1,STAN,1,6,6,0,0,0,0,0,0,0.6
524,50066913,Michael Hayes,LAFAY,RB,1,AIRF,3,6,2,0,0,0,0,0,0,0.6
524,50062113,Jaden Shirden,MONM,RB,1,MTNST,8,6,0.8,0,0,0,0,1,1,0.6
524,50054444,Casey Filkins,STAN,RB,1,KANST,0,0,0,0,1,6,0,0,0,0.6
524,50039327,Karris Davis,SUTAH,RB,1,ARZST,5,6,1.2,0,0,0,0,0,0,0.6
532,50069181,Anthony Smith,ABCHR,RB,1,SMU,2,5,2.5,0,0,0,0,0,0,0.5
532,50053603,Ryan Razzano,BUF,RB,1,WAG,1,5,5,0,0,0,0,0,0,0.5
532,50066033,Antonio Cortez Feria,FORDM,RB,1,NEBR,2,5,2.5,0,0,0,0,0,0,0.5
532,50049342,D.J. Hancock,GARDWB,RB,1,GAS,1,5,5,0,0,0,0,0,0,0.5
532,50049401,Jordan Forrest,HOLY,RB,1,UCONN,3,5,1.7,0,0,0,0,0,0,0.5
