Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
126,50038510,Ben Bresnahan,VAND,TE,1,ETNST,2,14,0,11,7,0,0,0,0,0,0,1.4
133,50026691,Kurt Rafdal,BOISE,TE,1,UCF,2,13,0,9,6.5,0,0,0,0,0,0,1.3
133,50036296,Braden Galloway,CLMSN,TE,1,GA,3,13,0,6,4.3,0,0,0,0,0,0,1.3
133,50019486,Isaac Smith,MSRST,TE,1,OKST,1,13,0,13,13,0,0,0,0,0,0,1.3
133,50039943,Michael Ezeike,UCLA,TE,1,HAWAII,1,13,0,13,13,0,0,0,0,0,0,1.3
137,50037796,Will Mallory,MIA,TE,1,ALA,2,12,0,7,6,0,0,0,0,0,0,1.2
137,50013463,Grayson Gunter,SOUMIS,TE,1,SALA,1,12,0,12,12,0,0,0,0,0,0,1.2
137,50046045,Ethan Hall,TULSA,TE,1,UCDV,2,12,0,9,6,0,0,0,0,0,0,1.2
140,50029090,Bryce Wolma,ARZ,TE,1,BYU,2,11,0,8,5.5,0,0,0,0,0,0,1.1
140,50042566,Riley Smith,BOISE,TE,1,UCF,1,11,0,11,11,0,0,0,0,0,0,1.1
140,50028480,Kris Leach,KENTST,TE,1,TXAM,1,11,0,11,11,0,0,0,0,0,0,1.1
140,50038971,Cole Grossman,MONT,TE,1,WASH,2,11,0,11,5.5,0,0,0,0,0,0,1.1
140,50046523,Jude Wolfe,USC,TE,1,SJST,2,11,0,8,5.5,0,0,0,0,0,0,1.1
145,50069264,Gary Clinton,MSRST,TE,1,OKST,1,10,0,10,10,0,0,0,0,0,0,1
145,50065428,Lincoln Sefcik,SALA,TE,1,SOUMIS,1,10,0,10,10,0,0,0,0,0,0,1
145,50037073,Daniel Bellinger,SDST,TE,1,NMXST,1,10,0,10,10,0,0,0,0,0,0,1
145,50045933,Tommy McIntyre,SMU,TE,1,ABCHR,1,10,0,10,10,0,0,0,0,0,0,1
