Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
245,50046544,Taj Davis,WASH,WR,1,MONT,6,59,0,15,9.8,0,0,0,0,0,0,5.9
249,50038922,Hassan Beydoun,EMICH,WR,1,STFPA,3,58,0,44,19.3,0,0,0,0,1,1,5.8
249,50061407,Daniel Jackson,MINNST,WR,1,OHIOST,3,58,0,22,19.3,0,0,0,0,0,0,5.8
249,50040445,Jaxon Janke,SDKST,WR,1,COLST,3,58,0,22,19.3,0,0,0,0,0,0,5.8
249,50064541,Shae Wyatt,TULANE,WR,1,OKL,5,58,0,17,11.6,0,0,0,0,0,0,5.8
253,50028051,Austin Williams,MSPST,WR,1,LOUTCH,5,57,0,30,11.4,0,0,0,0,1,1,5.7
253,50046556,Makai Polk,MSPST,WR,1,LOUTCH,10,57,0,10,5.7,0,0,0,0,0,0,5.7
253,50043017,Isaiah Hamilton,SJST,WR,1,SUTAH,2,57,0,47,28.5,0,0,0,0,0,0,5.7
253,50038049,Derius Davis,TCU,WR,1,DUQ,2,57,0,47,28.5,0,0,0,0,0,0,5.7
257,50046641,Jeff Foreman,ARKST,WR,1,CARK,5,55,0,19,11,0,0,0,0,0,0,5.5
257,50049254,Branden Walker,HOUBAP,WR,1,NMX,7,55,0,18,7.9,0,0,0,0,0,0,5.5
257,50032450,Jeremiah Knight,LAMON,WR,1,UK,6,58,0,15,9.7,1,-3,-3,0,0,0,5.5
257,50045779,Jonathan Mingo,MISS,WR,1,LOU,2,55,0,34,27.5,0,0,0,0,0,0,5.5
257,50067912,Rara Thomas,MSPST,WR,1,LOUTCH,3,55,0,25,18.3,0,0,0,0,0,0,5.5
257,50046182,Jared Wayne,PITT,WR,1,UMASS,6,55,0,21,9.2,0,0,0,0,0,0,5.5
257,50041157,Billy Kemp IV,VIR,WR,1,WM,4,55,0,17,13.8,0,0,0,0,0,0,5.5
264,50048472,Josh Kelly,FREST,WR,1,UCONN,3,54,0,37,18,0,0,0,0,0,0,5.4
264,50027479,Omar Manning,NEBR,WR,1,FORDM,3,54,0,32,18,0,0,0,0,0,0,5.4
264,50046452,Tyrice Richie,NILL,WR,1,GTECH,2,64,0,39,32,1,-10,-10,0,0,0,5.4
267,50038661,Keyshawn Helton,FLST,WR,1,ND,4,53,0,17,13.2,0,0,0,0,0,0,5.3
267,50058347,Zeriah Beason,OREGST,WR,1,PUR,2,53,0,41,26.5,0,0,0,0,0,0,5.3
267,50054445,John Humphreys,STAN,WR,1,KANST,3,53,0,29,17.7,0,0,0,0,0,0,5.3
267,50028122,Chris Pierce Jr.,VAND,WR,1,ETNST,4,53,0,31,13.2,0,0,0,0,0,0,5.3
271,50038936,Dylan Drummond,EMICH,WR,1,STFPA,3,52,0,33,17.3,0,0,0,0,0,0,5.2
271,50063481,Jaden Bray,OKST,WR,1,MSRST,2,52,0,36,26,0,0,0,0,0,0,5.2
271,50027694,Luke Whittemore,TROY,WR,1,SOUTH,3,52,0,28,17.3,0,0,0,0,0,0,5.2
